"79,6439024","79,795122","79,8463415","80,095122","80,497561","80,5463415","80,7487805","80,9","81,1","81,3512195","81,4512195","81,802439","81,704878","81,9560976","82,2536585","82,204878","82,3073171","82,4097561"
"81,0760976","81,4170732","81,5634146","81,76","82,0302439","81,925122","82,3219512","82,5070732","82,587561","82,9314634","82,8426829","82,5912195","83,0960976","83,3319512","83,5878049","83,7939024","83,984878","84,0997561"
"76,366","76,634","76,894","77,146","77,391","77,63","77,865","78,099","78,33","78,558","78,779","78,986","79,176","79,349","79,504","79,646","79,779","79,909"
"78,9536585","79,4073171","79,4512195","79,6487805","80,1463415","80,1512195","80,5536585","80,504878","80,9512195","81,404878","81,602439","81,6560976","81,704878","82,0560976","82,1536585","82,0512195","82,4073171","82,5512195"
"71,333","72,233","73,085","73,799","74,337","74,695","74,904","75,037","75,157","75,286","75,439","75,614","75,796","75,974","76,147","76,316","76,482","76,648"
"70,116","70,462","70,813","71,17","71,531","71,896","72,26","72,618","72,966","73,3","73,619","73,921","74,209","74,483","74,745","74,994","75,23","75,456"
"73,172","73,415","73,638","73,842","74,034","74,217","74,391","74,558","74,72","74,88","75,041","75,206","75,376","75,552","75,734","75,922","76,115","76,31"
"67,6756098","67,8370732","68,2756098","68,2107317","68,1853659","67,9568293","68,077561","68,2221951","68,2514634","69,19","70,2653659","70,8092683","70,9441463","71,1595122","71,1865854","71,1895122","71,4763415","71,7809756"
"73,025","73,228","73,438","73,654","73,875","74,092","74,295","74,474","74,625","74,745","74,837","74,904","74,958","75,006","75,056","75,11","75,172","75,241"
"50,4095718","50,710462","51,1099425","51,6053092","52,1893156","52,8526354","53,5823493","54,3552442","55,1462104","55,9343477","56,7003601","57,432299","58,1264902","58,7796852","59,3842217","59,933193","60,4238385","60,8623356"
"67,006","67,185","67,362","67,521","67,665","67,82","68,022","68,302","68,671","69,119","69,616","70,119","70,581","70,968","71,267","71,478","71,617","71,717"
"62,452","63,054","63,64","64,21","64,766","65,312","65,853","66,395","66,937","67,476","68,007","68,521","69,01","69,468","69,891","70,277","70,626","70,945"
"44,649","44,01","43,523","43,195","43,065","43,241","43,853","44,947","46,504","48,449","50,64","52,896","55,032","56,897","58,41","59,534","60,294","60,812"
"57,131","57,382","57,655","57,959","58,292","58,652","59,028","59,408","59,782","60,148","60,511","60,879","61,26","61,658","62,069","62,485","62,896","63,29"
"48,649","49,936","50,987","52,178","53,595","55,254","57,083","58,915","60,612","62,129","63,433","64,523","65,438","66,219","66,884","67,45","67,93","68,341"
"58,485","59,129","59,717","60,256","60,752","61,212","61,65","62,079","62,509","62,944","63,388","63,836","64,28","64,713","65,133","65,539","65,931","66,311"